date,airline,ch_code,num_code,dep_time,from,time_taken,stop,arr_time,to,price
11-02-2022,Air India,AI,868,18:00,Delhi,02h 00m,non-stop ,20:00,Mumbai,"25,612"
11-02-2022,Air India,AI,624,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,"25,612"
11-02-2022,Air India,AI,531,20:00,Delhi,24h 45m,"1-stop
												
												",20:45,Mumbai,"42,220"
11-02-2022,Air India,AI,839,21:25,Delhi,26h 30m,"1-stop
												
												",23:55,Mumbai,"44,450"
11-02-2022,Air India,AI,544,17:15,Delhi,06h 40m,"1-stop
												
												",23:55,Mumbai,"46,690"
11-02-2022,Vistara,UK,985,19:50,Delhi,02h 10m,non-stop ,22:00,Mumbai,"50,264"
11-02-2022,Air India,AI,479,21:15,Delhi,17h 45m,"1-stop
												
												",15:00,Mumbai,"50,669"
11-02-2022,Air India,AI,473,18:40,Delhi,22h 45m,"1-stop
												
												",17:25,Mumbai,"51,059"
11-02-2022,Vistara,UK,871,20:35,Delhi,17h 55m,"1-stop
												
												",14:30,Mumbai,"51,731"
11-02-2022,Vistara,UK,977,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,"53,288"
11-02-2022,Air India,AI,504,21:35,Delhi,11h 00m,"1-stop
												
												",08:35,Mumbai,"56,081"
11-02-2022,Air India,AI,807,17:20,Delhi,15h 15m,"1-stop
												
												",08:35,Mumbai,"56,081"
11-02-2022,Air India,AI,540,20:40,Delhi,11h 25m,"1-stop
												
												",08:05,Mumbai,"57,074"
11-02-2022,Air India,AI,537,16:15,Delhi,15h 50m,"1-stop
												
												",08:05,Mumbai,"57,074"
11-02-2022,Air India,AI,540,20:40,Delhi,21h 35m,"1-stop
												
												",18:15,Mumbai,"57,074"
11-02-2022,Air India,AI,537,16:15,Delhi,26h 00m,"1-stop
												
												",18:15,Mumbai,"57,074"
11-02-2022,Vistara,UK,817,16:05,Delhi,05h 45m,"1-stop
												
												",21:50,Mumbai,"57,868"
11-02-2022,Vistara,UK,817,16:05,Delhi,16h 10m,"1-stop
												
												",08:15,Mumbai,"57,868"
11-02-2022,Vistara,UK,817,16:05,Delhi,28h 10m,"1-stop
												
												",20:15,Mumbai,"57,868"
11-02-2022,Vistara,UK,817,16:05,Delhi,19h 20m,"1-stop
												
												",11:25,Mumbai,"59,996"
11-02-2022,Air India,AI,762,20:15,Delhi,23h 50m,"1-stop
												
												",20:05,Mumbai,"61,273"
11-02-2022,Air India,AI,764,16:55,Delhi,27h 10m,"1-stop
												
												",20:05,Mumbai,"61,273"
11-02-2022,Vistara,UK,707,17:30,Delhi,06h 00m,"1-stop
												
												",23:30,Mumbai,"63,737"
11-02-2022,Vistara,UK,707,17:30,Delhi,19h 30m,"1-stop
												
												",13:00,Mumbai,"63,737"
11-02-2022,Vistara,UK,707,17:30,Delhi,26h 50m,"1-stop
												
												",20:20,Mumbai,"63,737"
11-02-2022,Vistara,UK,809,19:50,Delhi,12h 25m,"1-stop
												
												",08:15,Mumbai,"74,640"
11-02-2022,Vistara,UK,813,17:35,Delhi,14h 40m,"1-stop
												
												",08:15,Mumbai,"74,640"
11-02-2022,Vistara,UK,809,19:50,Delhi,24h 25m,"1-stop
												
												",20:15,Mumbai,"74,640"
11-02-2022,Vistara,UK,809,19:50,Delhi,26h 00m,"1-stop
												
												",21:50,Mumbai,"74,640"
11-02-2022,Vistara,UK,813,17:35,Delhi,26h 40m,"1-stop
												
												",20:15,Mumbai,"74,640"
11-02-2022,Vistara,UK,813,17:35,Delhi,28h 15m,"1-stop
												
												",21:50,Mumbai,"74,640"
11-02-2022,Vistara,UK,809,19:50,Delhi,15h 35m,"1-stop
												
												",11:25,Mumbai,"76,768"
11-02-2022,Vistara,UK,813,17:35,Delhi,17h 50m,"1-stop
												
												",11:25,Mumbai,"76,768"
11-02-2022,Vistara,UK,837,17:25,Delhi,18h 15m,"1-stop
												
												",11:40,Mumbai,"78,376"
12-02-2022,Vistara,UK,953,20:40,Delhi,02h 10m,non-stop ,22:50,Mumbai,"25,736"
12-02-2022,Air India,AI,868,18:00,Delhi,02h 00m,non-stop ,20:00,Mumbai,"25,612"
12-02-2022,Air India,AI,887,07:00,Delhi,02h 05m,non-stop ,09:05,Mumbai,"25,612"
12-02-2022,Air India,AI,665,08:00,Delhi,02h 10m,non-stop ,10:10,Mumbai,"25,612"
12-02-2022,Air India,AI,805,20:00,Delhi,02h 10m,non-stop ,22:10,Mumbai,"25,612"
12-02-2022,Air India,AI,678,09:00,Delhi,02h 15m,non-stop ,11:15,Mumbai,"25,612"
12-02-2022,Air India,AI,624,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,"25,612"
12-02-2022,Air India,AI,636,14:30,Delhi,03h 30m,"1-stop
												Via IDR
												",18:00,Mumbai,"25,612"
12-02-2022,Air India,AI,441,17:50,Delhi,03h 45m,"1-stop
												Via IXU
												",21:35,Mumbai,"25,612"
12-02-2022,Air India,AI,435,05:55,Delhi,17h 30m,"1-stop
												
												",23:25,Mumbai,"36,496"
12-02-2022,Air India,AI,531,20:00,Delhi,24h 45m,"1-stop
												
												",20:45,Mumbai,"37,286"
12-02-2022,Vistara,UK,683,13:40,Delhi,25h 35m,"1-stop
												
												",15:15,Mumbai,"37,682"
12-02-2022,Air India,AI,403,12:55,Delhi,06h 20m,"1-stop
												
												",19:15,Mumbai,"37,617"
12-02-2022,Vistara,UK,977,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,"40,296"
12-02-2022,Vistara,UK,963,08:50,Delhi,02h 20m,non-stop ,11:10,Mumbai,"40,296"
12-02-2022,Vistara,UK,955,17:45,Delhi,02h 20m,non-stop ,20:05,Mumbai,"40,296"
12-02-2022,Air India,AI,411,07:05,Delhi,08h 00m,"1-stop
												
												",15:05,Mumbai,"40,582"
12-02-2022,Air India,AI,811,18:30,Delhi,20h 35m,"1-stop
												
												",15:05,Mumbai,"40,582"
12-02-2022,Air India,AI,453,04:55,Delhi,10h 05m,"1-stop
												
												",15:00,Mumbai,"42,252"
12-02-2022,Vistara,UK,637,17:10,Delhi,04h 25m,"1-stop
												
												",21:35,Mumbai,"43,964"
12-02-2022,Vistara,UK,927,09:30,Delhi,02h 05m,non-stop ,11:35,Mumbai,"44,328"
12-02-2022,Air India,AI,483,16:30,Delhi,23h 55m,"1-stop
												
												",16:25,Mumbai,"44,060"
12-02-2022,Air India,AI,544,17:15,Delhi,06h 40m,"1-stop
												
												",23:55,Mumbai,"44,450"
12-02-2022,Air India,AI,542,09:45,Delhi,14h 10m,"1-stop
												
												",23:55,Mumbai,"44,450"
12-02-2022,Air India,AI,560,08:10,Delhi,15h 45m,"1-stop
												
												",23:55,Mumbai,"44,450"
12-02-2022,Air India,AI,839,21:25,Delhi,26h 30m,"1-stop
												
												",23:55,Mumbai,"44,450"
12-02-2022,Vistara,UK,985,19:50,Delhi,02h 10m,non-stop ,22:00,Mumbai,"45,896"
12-02-2022,Air India,AI,406,10:15,Delhi,04h 50m,"1-stop
												
												",15:05,Mumbai,"46,265"
12-02-2022,Vistara,UK,829,07:30,Delhi,07h 00m,"1-stop
												
												",14:30,Mumbai,"47,396"
12-02-2022,Vistara,UK,871,20:35,Delhi,17h 55m,"1-stop
												
												",14:30,Mumbai,"47,396"
12-02-2022,Vistara,UK,879,17:40,Delhi,20h 50m,"1-stop
												
												",14:30,Mumbai,"47,396"
12-02-2022,Vistara,UK,899,14:45,Delhi,23h 45m,"1-stop
												
												",14:30,Mumbai,"47,396"
12-02-2022,Vistara,UK,871,20:35,Delhi,26h 25m,"1-stop
												
												",23:00,Mumbai,"47,396"
12-02-2022,Vistara,UK,627,13:20,Delhi,26h 40m,"1-stop
												
												",16:00,Mumbai,"48,281"
12-02-2022,Vistara,UK,945,11:40,Delhi,02h 20m,non-stop ,14:00,Mumbai,"49,256"
12-02-2022,Air India,AI,451,14:50,Delhi,25h 35m,"1-stop
												
												",16:25,Mumbai,"50,822"
12-02-2022,Air India,AI,885,10:55,Delhi,13h 15m,"1-stop
												
												",00:10,Mumbai,"50,992"
12-02-2022,Air India,AI,885,10:55,Delhi,21h 25m,"1-stop
												
												",08:20,Mumbai,"50,992"
12-02-2022,Air India,AI,877,11:00,Delhi,06h 25m,"1-stop
												
												",17:25,Mumbai,"51,059"
12-02-2022,Air India,AI,473,18:40,Delhi,22h 45m,"1-stop
												
												",17:25,Mumbai,"51,059"
12-02-2022,Vistara,UK,995,10:20,Delhi,02h 15m,non-stop ,12:35,Mumbai,"51,496"
12-02-2022,Vistara,UK,673,13:20,Delhi,05h 00m,"1-stop
												
												",18:20,Mumbai,"51,641"
12-02-2022,Air India,AI,429,09:50,Delhi,30h 05m,"1-stop
												Via Chennai
												",15:55,Mumbai,"53,582"
12-02-2022,Vistara,UK,879,17:40,Delhi,05h 20m,"1-stop
												
												",23:00,Mumbai,"56,345"
12-02-2022,Vistara,UK,899,14:45,Delhi,08h 15m,"1-stop
												
												",23:00,Mumbai,"56,345"
12-02-2022,Vistara,UK,859,10:25,Delhi,12h 35m,"1-stop
												
												",23:00,Mumbai,"56,345"
12-02-2022,Vistara,UK,829,07:30,Delhi,15h 30m,"1-stop
												
												",23:00,Mumbai,"56,345"
12-02-2022,Air India,AI,504,21:35,Delhi,23h 30m,"1-stop
												
												",21:05,Mumbai,"56,081"
12-02-2022,Air India,AI,807,17:20,Delhi,27h 45m,"1-stop
												
												",21:05,Mumbai,"56,081"
12-02-2022,Air India,AI,429,09:50,Delhi,08h 25m,"1-stop
												
												",18:15,Mumbai,"57,074"
12-02-2022,Air India,AI,540,20:40,Delhi,11h 25m,"1-stop
												
												",08:05,Mumbai,"57,074"
12-02-2022,Air India,AI,439,06:05,Delhi,12h 10m,"1-stop
												
												",18:15,Mumbai,"57,074"
12-02-2022,Air India,AI,537,16:15,Delhi,15h 50m,"1-stop
												
												",08:05,Mumbai,"57,074"
12-02-2022,Air India,AI,540,20:40,Delhi,20h 25m,"1-stop
												
												",17:05,Mumbai,"57,074"
12-02-2022,Air India,AI,537,16:15,Delhi,24h 50m,"1-stop
												
												",17:05,Mumbai,"57,074"
12-02-2022,Vistara,UK,839,13:30,Delhi,09h 05m,"1-stop
												
												",22:35,Mumbai,"57,801"
12-02-2022,Vistara,UK,833,07:10,Delhi,15h 25m,"1-stop
												
												",22:35,Mumbai,"57,801"
12-02-2022,Vistara,UK,817,16:05,Delhi,05h 45m,"1-stop
												
												",21:50,Mumbai,"57,868"
12-02-2022,Vistara,UK,819,14:15,Delhi,06h 00m,"1-stop
												
												",20:15,Mumbai,"57,868"
12-02-2022,Vistara,UK,819,14:15,Delhi,07h 35m,"1-stop
												
												",21:50,Mumbai,"57,868"
12-02-2022,Vistara,UK,801,09:05,Delhi,11h 10m,"1-stop
												
												",20:15,Mumbai,"57,868"
12-02-2022,Vistara,UK,815,08:05,Delhi,12h 10m,"1-stop
												
												",20:15,Mumbai,"57,868"
12-02-2022,Vistara,UK,809,19:50,Delhi,12h 25m,"1-stop
												
												",08:15,Mumbai,"57,868"
12-02-2022,Vistara,UK,801,09:05,Delhi,12h 45m,"1-stop
												
												",21:50,Mumbai,"57,868"
12-02-2022,Vistara,UK,815,08:05,Delhi,13h 45m,"1-stop
												
												",21:50,Mumbai,"57,868"
12-02-2022,Vistara,UK,813,17:35,Delhi,14h 40m,"1-stop
												
												",08:15,Mumbai,"57,868"
