date,airline,ch_code,num_code,dep_time,from,time_taken,stop,arr_time,to,price
11-02-2022,SpiceJet,SG,8709,18:55,Delhi,02h 10m,non-stop ,21:05,Mumbai,"5,953"
11-02-2022,SpiceJet,SG,8157,06:20,Delhi,02h 20m,non-stop ,08:40,Mumbai,"5,953"
11-02-2022,AirAsia,I5,764,04:25,Delhi,02h 10m,non-stop ,06:35,Mumbai,"5,956"
11-02-2022,Vistara,UK,995,10:20,Delhi,02h 15m,non-stop ,12:35,Mumbai,"5,955"
11-02-2022,Vistara,UK,963,08:50,Delhi,02h 20m,non-stop ,11:10,Mumbai,"5,955"
11-02-2022,Vistara,UK,945,11:40,Delhi,02h 20m,non-stop ,14:00,Mumbai,"5,955"
11-02-2022,Vistara,UK,927,09:30,Delhi,02h 05m,non-stop ,11:35,Mumbai,"6,060"
11-02-2022,Vistara,UK,951,14:20,Delhi,02h 10m,non-stop ,16:30,Mumbai,"6,060"
11-02-2022,GO FIRST,G8,334,08:00,Delhi,02h 10m,non-stop ,10:10,Mumbai,"5,954"
11-02-2022,GO FIRST,G8,336,14:20,Delhi,02h 15m,non-stop ,16:35,Mumbai,"5,954"
11-02-2022,GO FIRST,G8,392,15:00,Delhi,02h 15m,non-stop ,17:15,Mumbai,"5,954"
11-02-2022,GO FIRST,G8,338,10:30,Delhi,02h 20m,non-stop ,12:50,Mumbai,"5,954"
11-02-2022,Indigo,6E,5001,07:15,Delhi,02h 10m,non-stop ,09:25,Mumbai,"5,955"
11-02-2022,Indigo,6E,6202,12:00,Delhi,02h 10m,non-stop ,14:10,Mumbai,"5,955"
11-02-2022,Indigo,6E,549,14:20,Delhi,02h 15m,non-stop ,16:35,Mumbai,"5,955"
11-02-2022,Indigo,6E,6278,08:45,Delhi,02h 20m,non-stop ,11:05,Mumbai,"5,955"
11-02-2022,Air India,AI,887,07:00,Delhi,02h 05m,non-stop ,09:05,Mumbai,"5,955"
11-02-2022,Air India,AI,665,08:00,Delhi,02h 10m,non-stop ,10:10,Mumbai,"5,955"
11-02-2022,AirAsia,I5,747,19:00,Delhi,12h 15m,"1-stop
												
												",07:15,Mumbai,"5,949"
11-02-2022,AirAsia,I5,747,19:00,Delhi,16h 20m,"1-stop
												
												",11:20,Mumbai,"5,949"
11-02-2022,GO FIRST,G8,266,06:25,Delhi,11h 45m,"1-stop
												
												",18:10,Mumbai,"5,954"
11-02-2022,GO FIRST,G8,101,05:50,Delhi,14h 30m,"1-stop
												
												",20:20,Mumbai,"5,954"
11-02-2022,GO FIRST,G8,103,19:25,Delhi,15h 40m,"1-stop
												
												",11:05,Mumbai,"5,954"
11-02-2022,Air India,AI,441,17:50,Delhi,03h 45m,"1-stop
												Via IXU
												",21:35,Mumbai,"5,955"
11-02-2022,Indigo,6E,5328,09:30,Delhi,02h 30m,non-stop ,12:00,Mumbai,"6,165"
11-02-2022,Vistara,UK,933,15:30,Delhi,02h 10m,non-stop ,17:40,Mumbai,"6,690"
11-02-2022,Indigo,6E,2046,17:15,Delhi,02h 10m,non-stop ,19:25,Mumbai,"6,585"
11-02-2022,AirAsia,I5,744,08:20,Delhi,05h 50m,"1-stop
												
												",14:10,Mumbai,"8,869"
11-02-2022,SpiceJet,SG,8169,19:45,Delhi,02h 20m,non-stop ,22:05,Mumbai,"10,260"
11-02-2022,Indigo,6E,5041,18:40,Delhi,02h 10m,non-stop ,20:50,Mumbai,"10,470"
11-02-2022,GO FIRST,G8,165,06:05,Delhi,08h 00m,"1-stop
												
												",14:05,Mumbai,"10,575"
11-02-2022,Indigo,6E,2373,13:50,Delhi,06h 00m,"1-stop
												
												",19:50,Mumbai,"10,838"
11-02-2022,Vistara,UK,813,17:35,Delhi,14h 40m,"1-stop
												
												",08:15,Mumbai,"12,150"
11-02-2022,Vistara,UK,817,16:05,Delhi,16h 10m,"1-stop
												
												",08:15,Mumbai,"12,150"
11-02-2022,Vistara,UK,819,14:15,Delhi,18h 00m,"1-stop
												
												",08:15,Mumbai,"12,150"
11-02-2022,Vistara,UK,801,09:05,Delhi,23h 10m,"1-stop
												
												",08:15,Mumbai,"12,150"
11-02-2022,Vistara,UK,815,08:05,Delhi,24h 10m,"1-stop
												
												",08:15,Mumbai,"12,150"
11-02-2022,Air India,AI,453,04:55,Delhi,08h 50m,"1-stop
												
												",13:45,Mumbai,"11,900"
11-02-2022,SpiceJet,SG,2976,19:20,Delhi,04h 30m,"1-stop
												
												",23:50,Mumbai,"12,123"
11-02-2022,SpiceJet,SG,2976,19:20,Delhi,15h 15m,"1-stop
												
												",10:35,Mumbai,"12,123"
11-02-2022,Air India,AI,504,21:35,Delhi,11h 00m,"1-stop
												
												",08:35,Mumbai,"12,150"
11-02-2022,Air India,AI,502,13:30,Delhi,19h 05m,"1-stop
												
												",08:35,Mumbai,"12,150"
11-02-2022,Air India,AI,506,09:45,Delhi,22h 50m,"1-stop
												
												",08:35,Mumbai,"12,150"
11-02-2022,Air India,AI,803,06:10,Delhi,26h 25m,"1-stop
												
												",08:35,Mumbai,"12,150"
11-02-2022,Air India,AI,479,21:15,Delhi,17h 45m,"1-stop
												
												",15:00,Mumbai,"12,215"
11-02-2022,SpiceJet,SG,339,17:00,Delhi,19h 35m,"1-stop
												
												",12:35,Mumbai,"12,230"
11-02-2022,Vistara,UK,955,17:45,Delhi,02h 20m,non-stop ,20:05,Mumbai,"12,780"
11-02-2022,Vistara,UK,627,13:20,Delhi,26h 40m,"1-stop
												
												",16:00,Mumbai,"12,885"
11-02-2022,AirAsia,I5,784,16:05,Delhi,15h 10m,"1-stop
												
												",07:15,Mumbai,"12,539"
11-02-2022,Air India,AI,9643,19:00,Delhi,20h 50m,"1-stop
												
												",15:50,Mumbai,"12,938"
11-02-2022,Air India,AI,540,20:40,Delhi,11h 25m,"1-stop
												
												",08:05,Mumbai,"12,990"
11-02-2022,Air India,AI,429,09:50,Delhi,22h 15m,"1-stop
												
												",08:05,Mumbai,"12,990"
11-02-2022,Air India,AI,439,06:05,Delhi,26h 00m,"1-stop
												
												",08:05,Mumbai,"12,990"
11-02-2022,Air India,AI,9645,15:50,Delhi,21h 45m,"1-stop
												
												",13:35,Mumbai,"13,086"
11-02-2022,Indigo,6E,2193,14:05,Delhi,03h 50m,"1-stop
												
												",17:55,Mumbai,"13,279"
11-02-2022,Indigo,6E,2168,18:00,Delhi,04h 25m,"1-stop
												
												",22:25,Mumbai,"13,279"
11-02-2022,Indigo,6E,152,10:15,Delhi,07h 40m,"1-stop
												
												",17:55,Mumbai,"13,279"
11-02-2022,Indigo,6E,2193,14:05,Delhi,08h 20m,"1-stop
												
												",22:25,Mumbai,"13,279"
11-02-2022,Indigo,6E,369,21:50,Delhi,10h 25m,"1-stop
												
												",08:15,Mumbai,"13,279"
11-02-2022,Vistara,UK,899,14:45,Delhi,23h 45m,"1-stop
												
												",14:30,Mumbai,"13,673"
11-02-2022,Air India,AI,764,16:55,Delhi,19h 30m,"1-stop
												
												",12:25,Mumbai,"13,410"
11-02-2022,Vistara,UK,747,06:30,Delhi,06h 30m,"1-stop
												
												",13:00,Mumbai,"13,935"
11-02-2022,Vistara,UK,809,19:50,Delhi,12h 25m,"1-stop
												
												",08:15,Mumbai,"14,040"
11-02-2022,Vistara,UK,737,15:55,Delhi,21h 05m,"1-stop
												
												",13:00,Mumbai,"14,040"
11-02-2022,Vistara,UK,813,17:35,Delhi,26h 40m,"1-stop
												
												",20:15,Mumbai,"14,093"
11-02-2022,Vistara,UK,817,16:05,Delhi,28h 10m,"1-stop
												
												",20:15,Mumbai,"14,093"
11-02-2022,Vistara,UK,813,17:35,Delhi,28h 15m,"1-stop
												
												",21:50,Mumbai,"14,093"
11-02-2022,Indigo,6E,2338,12:45,Delhi,08h 00m,"1-stop
												
												",20:45,Mumbai,"13,767"
11-02-2022,GO FIRST,G8,237,12:50,Delhi,09h 15m,"1-stop
												
												",22:05,Mumbai,"13,932"
